PlotID,prefire_LCC,treeheight_mean,BA_HA,QMD,stems_ha,livecancov_loss,deadneedle,deepchar_mean,prop_killedBA,prop_killedSTEM,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,TotalPlotCBI_mean
NORSUNB1,0.752671325,10.6837,30.38735946,19.675844,1000,0,0,0,0,0,0,0,0,0
NORSUNB10,0.945206959,14.0255,78.98065181,32.079468,489,0,0,0,0,0,0,0,0,0
NORSUNB11,0.938347766,18.005356,84.78526813,40.592176,655,0,0,0,0,0,0,0,0,0
NORSUNB2,0.889002452,17.122,74.15899619,36.738362,700,0,0,0,0,0,0,0,0,0
NORSUNB3,0.738422358,8.907026,28.83831288,12.042749,1267,0,0,0,0,0,0,0,0,0
NORSUNB4,0.956440958,14.153438,88.43383701,36.05538,867,0,0,0,0,0,0,0,0,0
NORSUNB5,0.950956922,9.847586,93.90874019,21.543544,644,0,0,0,0,0,0,0,0,0
NORSUNB6,0.76408891,8.5403,47.52983621,15.739102,1222,0,0,0,0,0,0,0,0,0
NORSUNB7,0.927618404,11.432,79.89097027,25.309815,1589,0,0,0,0,0,0,0,0,0
NORSUNB8,0.697393066,9.068726,23.13120731,11.814912,1055,0,0,0,0,0,0,0,0,0
NORSUNB9,0.931254412,12.457365,75.84416516,28.916955,578,0,0,0,0,0,0,0,0,0
PION1,0.786372534,21.535,37.33287334,27.166886,322,0.22,1.68,0.15,0.24284202,0.37037037,0.59,0.05,0.2,1
PION10,0.766859601,20.01875,32.17200248,39.20501,133,0.01,1.53,0.06,0.028831028,0.33333333,0.77,0.08,0.27,1.3
PION11,0.625876191,14.625,15.45163602,10.149185,478,0.99,5.3,0,1,1,1,0.46,0.61,2.6
PION2,0.612918075,12.72,13.59304189,22.069449,178,1,5.7,0.3,1,1,0.98,0.42,0.3,2.1
PION3,0.680699967,20.01,26.35669707,26.824337,233,1,6.35,1,1,1,1,0.99,0.77,2.8
PION4,0.655779509,17.94444444,18.29319083,48.276038,100,0.88,4.44,0,0.257268239,0.66666667,0.98,0.56,0.17,1.7
PION5,0.647662899,19.685,17.5955636,12.091222,767,0.97,5.2,0.25,1,1,0.76,0.31,0.29,2
PION6,0.694127928,15.41052632,22.73920102,33.669125,256,0,0.32,0,0.013689694,0.13043478,0.61,0.03,0.19,1
PION7,0.74044667,17.205,28.553852,23.359571,333,0.58,3.8,0,0.546289364,0.86666667,0.9,0.39,0.23,1.9
PION8,0.704249996,23.97272727,26.99978808,53.050805,122,0.98,6,0.18,1,1,1,0.93,0.59,2.9
PION9,0.618726103,17.16,17.44547994,16.223435,211,0.9,5.55,0.2,1,1,0.83,0.57,0.49,2
PIONREBUNB1,,,,,,0,0,0,0,0,0,0,0,0
PIONUNB1,,,,,,0,0,0,0,0,0,0,0,0
PIONUNB2,0.612463835,19.324063,13.54439559,31.155015,178,0,0,0,0,0,0,0,0,0
PIONUNB3,0.649294801,21.533,17.56633219,36.644016,167,0,0,0,0,0,0,0,0,0
RAIL1,0.682078979,8.68,21.31231556,28.540583,167,0.61,3.45,0,0.067759831,0.33333333,0.87,0.38,0.11,1.6
RAIL10,0.670970481,16.505,20.02220691,22.340104,256,0.96,5.55,0.2,1,1,1,0.37,0.24,2.2
RAIL11,0.624888784,15.44285714,14.88293239,34.913097,156,0,1.5,0,0.003004764,0.14285714,0.84,0.09,0.22,1.1
RAIL12,0.784102756,21.1,34.68983034,23.504065,400,1,6.1,0.2,1,1,1,0.91,0.93,2.9
RAIL2,0.546543569,12.26153846,11.77022353,24.223482,256,0.99,6.38,0.69,1,1,1,1,0.28,2.6
RAIL3,0.698515013,19.485,23.26645712,20.416594,178,1,6.05,0.1,1,1,1,0.99,0.2,2.8
RAIL4,0.715922268,20.7,25.40340407,20.69663,189,1,5.25,0.05,1,1,0.99,0.68,0.14,2.2
RAIL5,0.637530329,15.63,16.26313486,11.624405,767,0,0.5,0.15,0.072244876,0.56521739,0.52,0.07,0.15,1.2
RAIL6,0.690637806,20.62,22.3227625,26.664341,200,0,1.45,0.05,0.058653376,0.44444444,0.65,0.11,0.19,1.3
RAIL7,0.660480285,15.845,18.8241554,18.364365,356,1,6,0,1,1,1,1,0.3,2.8
RAIL8,0.647372943,15.71052632,17.35211395,30.780431,233,1,4.95,0,1,1,1,0.66,0.23,2.1
RAIL9,0.695371257,19.34210526,22.88819395,24.997079,233,0,1.68,0,0.005127619,0.0952381,0.99,0.12,0.18,1.3
RAILREB1,0.515572294,5.852941176,3.76976115,15.496328,200,0.69,3.12,0.06,0.207998004,0.1875,0.76,0.26,0.09,1.1
RAILREB2,0.532187542,6.72,5.18966598,15.746072,267,0.28,2.05,0,0.072173182,0.08333333,0.62,0.14,0.07,0.8
RAILREB3,0.511585921,4.345,3.09111252,8.975098,244,1,5.2,0,1,1,0.98,0.59,0.24,1.8
RAILREB4,0.522568541,6.66875,4.20888674,16.374027,200,0.54,1.81,0.06,0,0,0.64,0.17,0.06,1
RAILREB5,0.579622403,9.775,10.07654691,16.995503,111,0.74,2.75,0,0.288794597,0.4,0.93,0.35,0.1,1.6
RAILREBUNB1,0.574456153,8.753369,10.66204769,9.697433,722,0,0,0,0,0,0,0,0,0
RAILREBUNB2,0.658923246,31.389,18.64789436,59.6963,67,0,0,0,0,0,0,0,0,0
RAILUNB1,0.601291034,25.856,12.35419729,44.984862,78,0,0,0,0,0,0,0,0,0
RAILUNB2,0.548057816,7.871767,7.3789677,9.918745,478,0,0,0,0,0,0,0,0,0
RAILUNB3,0.683688749,17.50975,21.501229,32.050452,267,0,0,0,0,0,0,0,0,0
RAILUNB4,0.539058072,14.9418,5.89165611,21.221751,167,0,0,0,0,0,0,0,0,0
REBE1,0.893402259,36.485,55.94150162,35.121538,578,0,0,0,0.000522535,0.28846154,0.87,0.03,0.07,0.772
REBE2,0.609374756,30.46,13.21412429,14.81845,767,0,0,0,0.019001238,0.57971014,0.69,0.11,0.1,1.168
REBE3,0.857114913,30.045,47.44214198,17.580611,489,0,0.84,0.05,0.098859665,0.70454545,0.81,0.03,0.08,1.189
REBE4,0.880502776,46.62,56.52787498,39.283921,233,0,0,0,0.062168655,0.36842105,1,0.04,0.14,1.28
REBE5,0.971752872,43.075,91.87148543,56.499102,367,0,0.7,0,0.00272477,0.25,0.73,0.03,0.08,0.894
REBEUNB1,0.867385737,16.034549,50.82731376,28.650193,789,0,0,0,0,0,0,0,0,0
REBEUNB2,0.802603949,16.191125,37.55930769,25.940416,178,0,0,0,0,0,0,0,0,0
REBEUNB3,0.838670642,10.101897,44.42170838,19.352466,755,0,0,0,0,0,0,0,0,0
RICE1,0.549542956,11.34,10.33411491,11.603886,489,1,6,0.5,1,1,1,1,0.84,2.7725
RICE10,0.522966862,8.705,4.24946168,11.971144,189,0.26,2.35,0,0.326796715,0.52941176,0.93,0.18,0.09,1.049
RICE11,0.542362245,11.605,6.22978063,11.720411,289,0.56,2,0,0.225435955,0.61538462,0.84,0.23,0.15,1.2525
RICE12,0.644837114,17.335,17.0702708,12.270342,722,0.72,6,0,1,1,1,0.95,0.24,2.874
RICE13,0.494613672,4.025,1.36558676,4.218193,244,1,4.05,0,1,1,0.63,0.14,0.19,1.066666667
RICE14,0.63132299,11.91052632,15.58295921,20.625689,233,0.37,0.37,0,0.000699947,0.04761905,0.66,0.06,0.12,0.789
RICE15,0.563476274,11.185,8.40075817,9.814482,556,1,5.6,0,1,1,1,0.68,0.23,2.452
RICE16,0.537573257,10.25,5.73982729,8.032625,567,0.95,4.8,0,0.501292186,0.98039216,0.99,0.19,0.18,1.981
RICE17,0.562158333,10.4,8.33836875,8.20549,789,1,5.2,0,1,1,0.99,0.75,0.22,2.244
RICE18,0.564987423,10.26,8.55694989,12.381625,356,0.25,2.8,0,0.364554122,0.4375,1,0.19,0.06,1.6625
RICE19,0.569113623,12.195,8.99498474,9.429298,644,0.14,0.65,0,0.278651904,0.63157895,0.9,0.16,0.07,1.036
RICE2,0.685797448,23.605,22.12076037,18.149422,855,0.64,4.7,0,0.70072817,0.94520548,0.98,0.5,0.27,2.146
